Date,Open,High,Low,Close,Adj Close,Volume
Jul 22 2025,61300.0,62200.0,60900.0,62200.0,61749.28,5029448
Jul 21 2025,62200.0,62700.0,61300.0,61300.0,60855.8,7125587
Jul 18 2025,62300.0,62600.0,61800.0,61900.0,61451.45,7041692
Jul 17 2025,61800.0,62700.0,61800.0,62200.0,61749.28,14285620
Jul 16 2025,61400.0,62100.0,61100.0,61800.0,61352.18,62729140
Jul 15 2025,62400.0,62600.0,61400.0,61400.0,60955.07,6454627
Jul 14 2025,62900.0,62900.0,61000.0,62400.0,61947.83,8165467
Jul 11 2025,61500.0,63100.0,61500.0,62700.0,62245.65,12846700
Jul 10 2025,61800.0,61800.0,61000.0,61400.0,60955.07,8283436
Jul 9 2025,59400.0,61800.0,59400.0,61500.0,61054.35,16602680
Jul 8 2025,58800.0,59500.0,58600.0,59000.0,58572.46,10886490
Jul 7 2025,58500.0,58900.0,58200.0,58600.0,58175.36,8193549
Jul 4 2025,57900.0,58800.0,57800.0,58400.0,57976.81,4973776
Jul 3 2025,58100.0,58800.0,57700.0,57900.0,57480.43,7534255
Jul 2 2025,58300.0,58600.0,57700.0,58000.0,57579.71,3038603
Jul 1 2025,57200.0,58800.0,57100.0,58200.0,57778.26,10151510
Jun 30 2025,57000.0,57200.0,56900.0,57000.0,56586.96,3991227
Jun 27 2025,56600.0,57300.0,56400.0,56700.0,56289.13,4176599
Jun 26 2025,56700.0,56800.0,56400.0,56400.0,55991.3,3004219
Jun 25 2025,56800.0,56900.0,56600.0,56600.0,56189.86,2833088
Jun 24 2025,56900.0,57100.0,56600.0,56600.0,56189.86,4670030
Jun 23 2025,56700.0,56900.0,56500.0,56600.0,56189.86,2776926
Jun 20 2025,56700.0,57200.0,56500.0,57100.0,56686.23,8079498
Jun 19 2025,56700.0,57000.0,56500.0,56600.0,56189.86,2430564
Jun 18 2025,57200.0,57300.0,56500.0,56700.0,56289.13,3615309
Jun 17 2025,56900.0,57500.0,56800.0,57200.0,56785.51,5226205
Jun 16 2025,56200.0,56700.0,56200.0,56600.0,56189.86,4620463
Jun 13 2025,55900.0,57100.0,55600.0,56200.0,55792.75,5432163
Jun 12 2025,56000.0,56100.0,55700.0,56000.0,55594.2,2647774
Jun 11 2025,56200.0,56200.0,55700.0,55700.0,55296.38,2358663
Jun 10 2025,56000.0,56200.0,55900.0,55900.0,55494.93,2422688
Jun 9 2025,56200.0,56400.0,55900.0,55900.0,55494.93,2287030
Jun 6 2025,56300.0,56600.0,56100.0,56100.0,55693.48,2723554
